CohortGroup,0,1,2,3,4,5,6,7,8,9,10,11,12
2009-12,1.0,0.35287958115183243,0.33403141361256544,0.42513089005235605,0.38010471204188484,0.35916230366492147,0.3769633507853403,0.3424083769633508,0.33612565445026177,0.362303664921466,0.42198952879581153,0.4952879581151832,0.2481675392670157
2010-01,1.0,0.206266318537859,0.31070496083550914,0.30548302872062666,0.26370757180156656,0.3002610966057441,0.2584856396866841,0.2297650130548303,0.2793733681462141,0.3185378590078329,0.3028720626631854,0.09921671018276762,
2010-02,1.0,0.23796791443850268,0.22459893048128343,0.2914438502673797,0.24598930481283424,0.20053475935828877,0.1925133689839572,0.28609625668449196,0.2540106951871658,0.27540106951871657,0.07219251336898395,,
2010-03,1.0,0.19004524886877827,0.23076923076923078,0.2420814479638009,0.2330316742081448,0.20361990950226244,0.24660633484162897,0.3031674208144796,0.27601809954751133,0.07918552036199095,,,
2010-04,1.0,0.19387755102040816,0.19387755102040816,0.16326530612244897,0.1836734693877551,0.22448979591836735,0.2755102040816326,0.2619047619047619,0.06802721088435375,,,,
2010-05,1.0,0.15748031496062992,0.16929133858267717,0.1732283464566929,0.17716535433070865,0.2559055118110236,0.2125984251968504,0.07874015748031496,,,,,
2010-06,1.0,0.17407407407407408,0.18888888888888888,0.2037037037037037,0.22962962962962963,0.2851851851851852,0.06666666666666667,,,,,,
2010-07,1.0,0.15591397849462366,0.1827956989247312,0.2956989247311828,0.2903225806451613,0.10215053763440861,,,,,,,
2010-08,1.0,0.2037037037037037,0.2962962962962963,0.32098765432098764,0.11728395061728394,,,,,,,,
2010-09,1.0,0.22633744855967078,0.2345679012345679,0.09876543209876543,,,,,,,,,
2010-10,1.0,0.2572944297082228,0.09283819628647215,,,,,,,,,,
2010-11,1.0,0.1076923076923077,,,,,,,,,,,
2010-12,1.0,,,,,,,,,,,,
