CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,R_Score,F_Score,M_Score,RFM_Score,RFM_Avg,Segment,Recency_log,Frequency_log,Monetary_log,AvgOrderValue_log,Cluster,Cluster_Name,PCA1,PCA2
12346.0,165,11,372.86,11.29878787878788,33,2,5,2,252,3.0,At Risk,5.111987788356544,2.4849066497880004,5.923881395784186,2.509500711082343,3,Regular Customers,0.19224063657980572,1.041931006558995
12347.0,3,2,1323.32,18.63830985915493,71,5,2,4,524,3.6666666666666665,New Customers,1.3862943611198906,1.0986122886681098,7.188654399137086,2.9774822431721106,0,New Potentials,0.976263516742232,-1.5489716800704432
12348.0,74,1,222.16,11.108,20,2,1,1,211,1.3333333333333333,Lost Customers,4.31748811353631,0.6931471805599453,5.407889002977328,2.493866391159472,2,Regular Customers,-1.3572321995736336,-0.37088702951382724
12349.0,43,3,2671.14,26.18764705882353,102,3,3,5,335,3.6666666666666665,Loyal Customers,3.784189633918261,1.3862943611198906,7.890634928493536,3.3027627178944496,3,Regular Customers,0.6426816815262472,0.38814929531923353
12351.0,11,1,300.93,14.33,21,5,1,2,512,2.6666666666666665,New Customers,2.4849066497880004,0.6931471805599453,5.710195202428391,2.7298116928837226,0,New Potentials,-0.5088977239583753,-1.4813989091707214
12352.0,11,2,343.8,19.1,18,5,2,2,522,3.0,New Customers,2.4849066497880004,1.0986122886681098,5.842964538789538,3.0007198150650303,0,New Potentials,-0.0814723971493767,-1.2752331147085845
12353.0,44,1,317.76,15.888,20,3,1,2,312,2.0,Others,3.8066624897703196,0.6931471805599453,5.764438468529548,2.8266033105460195,0,New Potentials,-0.9923513033127642,-0.58877776835678
12355.0,203,1,488.21,22.19136363636364,22,1,1,2,112,1.3333333333333333,Lost Customers,5.318119993844216,0.6931471805599453,6.192791845141295,3.143779952314116,2,Regular Customers,-1.372429593404181,0.5552732548354349
12356.0,16,3,3562.25,42.407738095238095,84,4,3,5,435,4.0,Loyal Customers,2.833213344056216,1.3862943611198906,8.17842832873514,3.7706377223386176,3,Regular Customers,1.1446476749164671,-0.14405341283146952
12357.0,24,2,12079.99,73.2120606060606,165,4,2,5,425,3.6666666666666665,New Customers,3.2188758248682006,1.0986122886681098,9.399388421773173,4.3069266788254925,3,Regular Customers,1.3130985642620177,0.4075235319128152
12358.0,11,3,2719.01,46.879482758620696,58,5,3,5,535,4.333333333333333,Loyal Customers,2.4849066497880004,1.3862943611198906,7.908390835753873,3.868687077762179,3,Regular Customers,1.1514358819029031,-0.46536810782589916
12359.0,61,6,2563.36,21.90905982905983,117,3,4,5,345,4.0,Loyal Customers,4.127134385045092,1.9459101490553132,7.8494642138008395,3.1315324580441093,3,Regular Customers,0.9946949207177115,0.8240116334416705
12360.0,15,5,1590.83,18.07761363636364,88,5,4,4,544,4.333333333333333,Champions,2.772588722239781,1.791759469228055,7.372639576782921,2.9485155867286412,3,Regular Customers,1.15278940774781,-0.29394544957528274
12361.0,98,3,321.35,16.913157894736845,19,2,3,2,232,2.333333333333333,At Risk,4.59511985013459,1.3862943611198906,5.775637911756629,2.88553552072752,2,Regular Customers,-0.6670733015278028,0.21260439754817181
12362.0,374,1,130.0,130.0,1,1,1,1,111,1.0,Lost Customers,5.926926025970411,0.6931471805599453,4.875197323201151,4.875197323201151,2,Regular Customers,-2.2282811462842744,0.5144557561888462
12366.0,269,1,500.24,166.74666666666667,3,1,1,2,112,1.3333333333333333,Lost Customers,5.598421958998375,0.6931471805599453,6.217085028297085,5.122454904814821,2,Regular Customers,-1.4689227405613636,0.7488751003497351
12368.0,264,1,917.7,50.98333333333333,18,1,1,3,113,1.6666666666666667,Cannot Lose Them,5.579729825986222,0.6931471805599453,6.822959627277421,3.9509231543857024,2,Regular Customers,-1.1759887954163708,0.9404700319926704
12369.0,49,3,1791.15,19.25967741935484,93,3,3,4,334,3.333333333333333,Loyal Customers,3.912023005428146,1.3862943611198906,7.491171295388921,3.008632576648116,3,Regular Customers,0.4050602536483603,0.3382385413075435
12370.0,260,3,774.62,22.132,35,1,3,3,133,2.333333333333333,At Risk,5.564520407322694,1.3862943611198906,6.653662709523911,3.1412169402959718,3,Regular Customers,-0.6263258296175788,1.1494530378988512
12371.0,45,3,2179.42,20.95596153846154,104,3,3,5,335,3.6666666666666665,Loyal Customers,3.828641396489095,1.3862943611198906,7.687272797776933,3.0890386989308496,3,Regular Customers,0.5296552217788254,0.34909548727846845
12373.0,260,2,763.0500000000001,20.62297297297297,37,1,2,3,123,2.0,Cannot Lose Them,5.564520407322694,1.0986122886681098,6.638633232051267,3.073756313070659,2,Regular Customers,-0.8922508509262407,1.0298282900854472
12374.0,57,3,2246.29,44.9258,50,3,3,5,335,3.6666666666666665,Loyal Customers,4.060443010546419,1.3862943611198906,7.717480324827861,3.8270270506555106,3,Regular Customers,0.4546298000237853,0.5126046302306445
12376.0,25,2,503.15,38.70384615384615,13,4,2,2,422,2.6666666666666665,New Customers,3.258096538021482,1.0986122886681098,6.222873842839224,3.681448063450062,0,New Potentials,-0.20007537748047782,-0.6358650087738413
12377.0,17,2,1798.2,23.976,75,4,2,4,424,3.333333333333333,New Customers,2.8903717578961645,1.0986122886681098,7.495097400645106,3.217915363773076,0,New Potentials,0.5415335652752522,-0.450842297836933
12378.0,198,1,1407.7,17.167073170731708,82,1,1,4,114,2.0,Cannot Lose Them,5.293304824724492,0.6931471805599453,7.250422572266261,2.899610789121294,2,Regular Customers,-0.8640858010019589,0.8948957179658964
